Complexity,Loss,Equation
2,3.3063924,"cos(-3.1422663)"
3,3.1834195,"x0 + -2.0872965"
4,2.743251,"cos(x0 * -3.3336666)"
6,1.0893528,"cos(3.2919583 * x0) * 4.9983397"
8,0.31256995,"(5.0285 * cos(-3.4954805 * x0)) + -1.2861539"
12,0.3116584,"((-0.2595765 + cos(-3.495387 * x0)) * 5.037822) + (0.02384868 * x2)"
13,0.31151596,"((5.029097 * cos(x0 * 3.4967084)) + (cos(1.5385989) * x2)) + -1.3260852"
14,0.31069368,"-1.3046311 + ((cos((-3.4838445 + (-0.013091956 * x2)) * x0) * 1.2230854) * 4.110359)"
16,0.3095682,"-1.3046311 + ((cos((-3.4838445 + ((-0.013091956 * x0) * x2)) * x0) * 1.2230854) * 4.110359)"
18,0.30770335,"((cos((-3.4838445 + (((-0.013091956 * x0) * x4) * x2)) * x0) * 1.2230854) * 4.110359) + -1.2861539"
