Complexity,Loss,Equation
1,3.3040652,"-1.1848699"
3,3.1834185,"-2.087432 + x0"
4,2.7433639,"cos(x0 * -3.320606)"
6,1.3872366,"cos(3.496884 * x0) * 3.496884"
8,0.31258893,"(cos(x0 * 3.4954991) * 5.0306654) + -1.2871331"
10,0.31257513,"((5.0303864 * cos(3.4956543 * x0)) + -1.2199243) + -0.06632699"
11,0.3125689,"cos(0.6049488) + ((5.02494 * cos(x0 * 3.4948916)) + -2.1089058)"
12,0.31167307,"((0.018606754 * x2) + -1.3076582) + (cos(x0 * 3.4962833) * 5.0352206)"
14,0.3114663,"((-0.03494811 * x2) * -0.9460682) + (-1.3254093 + (5.0307736 * cos(3.496712 * x0)))"
15,0.3114589,"(((5.0443764 * cos(3.496884 * x0)) + (0.033496626 * x2)) + -1.3287286) * cos(-0.07176305)"
16,0.31128502,"(((3.4960973 + x2) + x3) * 0.016360054) + ((-0.27231386 + cos(x0 * 3.4960973)) * 5.0345845)"
17,0.30990282,"-1.2929595 + (((-0.07066369 * cos((2.7289517 * x4) + 0.16185467)) + 5.0413685) * cos(x0 * 3.4963586))"
19,0.30981496,"-1.2929595 + (((-0.07066369 * cos((2.7289517 * x4) + (0.14959127 + 0.06548647))) + 5.0413685) * cos(x0 * 3.4963586))"
