Complexity,Loss,Equation
2,1.0281556e6,"p(19.794823)"
3,2930.5613,"x0 * 18.533201"
5,1148.3999,"(x0 - 4.258548) * 19.794823"
7,1148.3993,"((-4.560085 + x0) * 19.794685) - -5.9742713"
8,24.99979,"p(((0.65529144 + x0) + x0) + x0)"
10,1.0836795e-6,"p(((1.0309845 + x0) + x0) + x0) + -4.9999924"
12,1.0771406e-6,"p(x0 + ((x0 + (x0 - -0.05838154)) - -0.70737314)) - 4.9999647"
